Starting tumor growth prediction pipeline for Patient-042

--- Phase 1: Fitting FK parameters using week 49 ---
Loading data for week 49...
Found data directory: /scratch/bcsl/jyin15/Tumor/BioPhysModel/parcelled_and_masks/Patient-042/week-049
Running FK parameter optimization with 15 generations...
Starting CMA-ES optimization with 15 generations...
generations  1 / 16
Running forward model with parameters: Dw=0.9437, rho=0.000100, time=50.1
Generation 1, Loss: 0.472092, Time: 7.57s
Running forward model with parameters: Dw=0.9486, rho=0.082016, time=50.1
Generation 1, Loss: 0.652641, Time: 7.75s
Running forward model with parameters: Dw=1.1461, rho=0.119472, time=50.0
Generation 1, Loss: 0.657481, Time: 7.79s
Running forward model with parameters: Dw=1.0460, rho=0.000100, time=50.0
Generation 1, Loss: 0.489336, Time: 7.65s
Running forward model with parameters: Dw=1.1000, rho=0.000100, time=49.9
Generation 1, Loss: 0.514298, Time: 7.26s
Running forward model with parameters: Dw=1.0207, rho=0.186890, time=50.1
Generation 1, Loss: 0.660245, Time: 6.62s
Running forward model with parameters: Dw=0.9422, rho=0.158490, time=49.9
Generation 1, Loss: 0.656879, Time: 6.58s
Running forward model with parameters: Dw=0.9704, rho=0.124703, time=50.1
Generation 1, Loss: 0.659185, Time: 4.05s
generations  2 / 16
Running forward model with parameters: Dw=1.2300, rho=0.000100, time=50.0
Generation 2, Loss: 0.534201, Time: 7.73s
Running forward model with parameters: Dw=1.0587, rho=0.113571, time=50.1
Generation 2, Loss: 0.655473, Time: 7.83s
Running forward model with parameters: Dw=0.9641, rho=0.193672, time=50.1
Generation 2, Loss: 0.660850, Time: 7.80s
Running forward model with parameters: Dw=0.8562, rho=0.000100, time=50.1
Generation 2, Loss: 0.484817, Time: 7.62s
Running forward model with parameters: Dw=0.9413, rho=0.000100, time=50.1
Generation 2, Loss: 0.480566, Time: 7.24s
Running forward model with parameters: Dw=1.0921, rho=0.105570, time=50.1
Generation 2, Loss: 0.655431, Time: 6.71s
Running forward model with parameters: Dw=1.0909, rho=0.000100, time=49.9
Generation 2, Loss: 0.492308, Time: 6.67s
Running forward model with parameters: Dw=0.9147, rho=0.000100, time=50.0
Generation 2, Loss: 0.480356, Time: 4.15s
Running forward model with parameters: Dw=1.0479, rho=0.049887, time=49.9
Generation 2, Loss: 0.550517, Time: 7.19s
Running forward model with parameters: Dw=0.9974, rho=0.117225, time=49.9
Generation 2, Loss: 0.656674, Time: 3.32s
generations  3 / 16
Running forward model with parameters: Dw=0.8993, rho=0.047218, time=50.1
